B/C row-gated bridge source verifier
step family=B rank=2 m=11 mode=exact margin=41078499774144274682472
step family=B rank=2 m=12 mode=exact margin=7195375199532725616996628
step family=B rank=2 m=13 mode=exact margin=1335333775434320345847401066
step family=B rank=2 m=14 mode=exact margin=260268291318609962976935078040
step family=B rank=2 m=15 mode=exact margin=52925017411027371624886454466640
step family=B rank=2 m=16 mode=exact margin=11170213492073671124240322557422336
step family=B rank=2 m=17 mode=exact margin=2436813237938901171270829696918730168
step family=B rank=2 m=18 mode=exact margin=547600275747886607200720224870164163776
step family=B rank=2 m=19 mode=exact margin=126399126412596790408641714734901441027856
step family=B rank=2 m=20 mode=exact margin=29895422238258923758913583298984738252301616
step family=B rank=2 m=21 mode=exact margin=7229885950813408085570578331686997099100935852
step family=B rank=2 m=22 mode=exact margin=1784545376978115789354813924472353079605829796176
step family=B rank=2 m=23 mode=exact margin=448841780466831557651036507862038042112702288901872
step family=B rank=2 m=24 mode=exact margin=114870827546198574661656873042647487664760779170300224
step family=B rank=2 m=25 mode=exact margin=29876309701608383975975782851551736973937034421376870744
step family=B rank=2 m=26 mode=exact margin=7887756157487918349194198734825652598765621159647045886592
step family=B rank=2 m=27 mode=exact margin=2111778555066506215238777640723909037905448883517462497449456
step family=B rank=2 m=28 mode=exact margin=572815020841800357467121741589388447958037781069965125587423260
step family=B rank=2 m=29 mode=interval margin=157286821554611274477621148180904152915667496625775925771537068700
row family=B rank=2 m_range=1..29 exact_through=61 exact_steps=28 interval_steps=1 minimum_m=1 minimum_margin=1046
step family=B rank=3 m=2 mode=exact margin=103048
step family=B rank=3 m=3 mode=exact margin=9980388
step family=B rank=3 m=4 mode=exact margin=1228749336
step family=B rank=3 m=5 mode=exact margin=182748887872
step family=B rank=3 m=6 mode=exact margin=31838309767952
step family=B rank=3 m=7 mode=exact margin=6379367533186208
step family=B rank=3 m=8 mode=exact margin=1454993952841730248
step family=B rank=3 m=9 mode=exact margin=375820708357600669260
step family=B rank=3 m=10 mode=exact margin=109674342208097148817872
step family=B rank=3 m=11 mode=exact margin=36085437879165584578360092
step family=B rank=3 m=12 mode=exact margin=13334304513801384921705746352
step family=B rank=3 m=13 mode=exact margin=5496076621621433584526831876604
step family=B rank=3 m=14 mode=exact margin=2502859626542205681310989773523120
step family=B rank=3 m=15 mode=exact margin=1245480114202700262651481184109070488
step family=B rank=3 m=16 mode=exact margin=669807185989429798639355184693480012240
step family=B rank=3 m=17 mode=exact margin=385389715349647768623449133637961664574968
step family=B rank=3 m=18 mode=exact margin=235203053200099465279119644252959550409568416
step family=B rank=3 m=19 mode=exact margin=151175438210505655401760734166183750122063708864
step family=B rank=3 m=20 mode=exact margin=101739110785249739880454552198143208377629771337624
step family=B rank=3 m=21 mode=exact margin=71350930781976020674291039889869561800959622772591884
step family=B rank=3 m=22 mode=exact margin=51941630861798332541992305974963720498995594750706016768
step family=B rank=3 m=23 mode=exact margin=39121410445942905447674441007384505328436192778970999183696
step family=B rank=3 m=24 mode=exact margin=30401201160866178425865115359410364921330857686478655886768240
step family=B rank=3 m=25 mode=exact margin=24316809229354698246595633189123100455957867705214976225834860344
step family=B rank=3 m=26 mode=exact margin=19978239725071536978902469079559034161322898926459706495154740211936
step family=B rank=3 m=27 mode=exact margin=16828478968267060163709352422148690001408345642762028932476470810123036
step family=B rank=3 m=28 mode=exact margin=14509736926495837347392003318544844003933323723730120934106840445534685016
step family=B rank=3 m=29 mode=interval margin=12786877009822746937901014717121727929592756724856321138160649107279248039106
row family=B rank=3 m_range=2..29 exact_through=61 exact_steps=27 interval_steps=1 minimum_m=2 minimum_margin=103048
step family=B rank=4 m=3 mode=exact margin=11921226
step family=B rank=4 m=4 mode=exact margin=1825714060
step family=B rank=4 m=5 mode=exact margin=363486880888
