COMMAND: ./post_m29_bc_interval_formula_mpfr
B/C interval fixed-template direct-tail MPFR onset verifier
b_rank_lo=14 b_rank_hi=217 c_rank_lo=20 c_rank_hi=217 include_b=1 include_c=1 b_radius_slope=22 c_radius_slope=19 b_radius_offset=0 c_radius_offset=0 search_lo=63 search_hi=40001 slack=32 cheb_degree=8 cheb_scale=12000 cutoff=80 majorant_degree=32 log10_neg=-15 mpfr_precision=384 mpfr_version=4.2.1 max_fact=94396 OpenMP threads=32
CONDITIONAL_INPUT requires uniform B/C Chebyshev negative-tail bound degree=8 scale=12000 cutoff=80 majorant_degree=32 log10_negative_upper<=-15
factorial_log_precompute_start max_fact=94396
factorial_log_precompute_done max_fact=94396
row	onset	margin_lower_log10	slack_target	slack_margin_lower_log10	radius	c_push_lower
B_156	15499	0.227214653222306483241901	15531	69.4383265930981467950913	3432	45394.35421307689758352
B_157	15709	2.60730932657479426197901	15741	71.9136160968834093178129	3454	45999.35421307689758352
B_158	15919	1.87595792312463167650095	15951	71.2768118501244670749274	3476	46608.35421307689758352
B_159	16131	2.3448415499152001922396	16163	71.8396037139332642619392	3498	47221.35421307689758352
B_160	16345	4.03567750021442292508243	16377	73.6237175593461918858358	3520	47838.35421307689758352
B_161	16559	2.57928223034041592986487	16591	72.2599782488524531196541	3542	48459.35421307689758352
B_162	16775	2.34078759412428087181966	16807	72.1135258754037991438774	3564	49084.35421307689758352
B_163	16993	3.30604634910446958757206	17025	73.1702212730062170987042	3586	49713.35421307689758352
B_164	17211	1.12445740071968588836846	17243	71.079471265166405081157	3608	50346.35421307689758352
B_165	17431	0.142661630148610569526717	17463	70.1879244968469228276371	3630	50983.35421307689758352
B_166	17653	0.382239121862017566783574	17685	70.5171686660009355760951	3652	51624.35421307689758352
B_167	17877	1.82891712404566962186012	17909	72.0529384878500488866213	3674	52269.35421307689758352
B_168	18101	0.109626802009225454326463	18133	70.4221724520253479383517	3696	52918.35421307689758352
B_169	18329	3.99355364375194439629727	18361	74.3940632317470924281236	3718	53571.35421307689758352
B_170	18555	0.302061413018533144993596	18587	70.7899816403808714329473	3740	54228.35421307689758352
B_171	18785	2.22085544588207991253384	18817	72.7956399314114280380436	3762	54889.35421307689758352
B_172	19015	0.954935586750215518889007	19047	71.6160447377343723165945	3784	55554.35421307689758352
B_173	19247	0.895401070565232207034038	19279	71.6423019570404161614926	3806	56223.35421307689758352
B_174	19481	2.06359802212439060619557	19513	72.8957642542220954543572	3828	56896.35421307689758352
B_175	19715	0.012719103762713400996341	19747	70.9296307120488537088745	3850	57573.35421307689758352
B_176	19953	3.62335759101501358067546	19985	74.6245009097306588971196	3872	58254.35421307689758352
B_177	20191	4.01109800601180278550339	20223	75.0959655591280783814418	3894	58939.35421307689758352
B_178	20429	1.18148151593834285473349	20461	72.3495719059412169540533	3916	59628.35421307689758352
B_179	20671	4.01074509994222584814835	20703	75.2615628992659141969261	3938	60321.35421307689758352
