B/C residual exact complement-frontier GMP verifier
VERIFIES exact frontier for window_bound(q) * M_K < 2^(2q)
where M_K=sum_{d=0}^K (d+1)*s_d and s_{n+1}=n*s_n+n*s_{n-1}-binom(n,2)*s_{n-2}
window_bound(q) is the residual j-q bound from cor:post29-bc-window-size-strata, with 30899-q for q>=29
host=optimus
q_min=15 q_max=218 k_cap=218 OpenMP threads=64
stable_progress index=10/218
stable_progress index=20/218
stable_progress index=30/218
stable_progress index=40/218
stable_progress index=50/218
stable_progress index=60/218
stable_progress index=70/218
stable_progress index=80/218
stable_progress index=90/218
stable_progress index=100/218
stable_progress index=110/218
stable_progress index=120/218
stable_progress index=130/218
stable_progress index=140/218
stable_progress index=150/218
stable_progress index=160/218
stable_progress index=170/218
stable_progress index=180/218
stable_progress index=190/218
stable_progress index=200/218
stable_progress index=210/218
stable_progress index=218/218
progress completed=25/204 last_q=61 failures=0
progress completed=50/204 last_q=117 failures=0
progress completed=75/204 last_q=152 failures=0
progress completed=100/204 last_q=176 failures=0
progress completed=125/204 last_q=197 failures=0
progress completed=150/204 last_q=21 failures=0
progress completed=175/204 last_q=35 failures=0
progress completed=200/204 last_q=128 failures=0
progress completed=204/204 last_q=134 failures=0
frontier q=50 window_bound=30849 K=25 lhs_bits=100 rhs_bits=101 margin_bits=97 log10_lhs_over_rhs=-0.0488692310592284684 next_K=26 next_log10_lhs_over_rhs=1.37337680037106935 status=OK
frontier q=51 window_bound=30848 K=25 lhs_bits=100 rhs_bits=103 margin_bits=102 log10_lhs_over_rhs=-0.650943300688631155 next_K=26 next_log10_lhs_over_rhs=0.771302730741666664 status=OK
frontier q=52 window_bound=30847 K=25 lhs_bits=100 rhs_bits=105 margin_bits=104 log10_lhs_over_rhs=-1.25301737077441544 next_K=26 next_log10_lhs_over_rhs=0.169228660655882379 status=OK
frontier q=53 window_bound=30846 K=26 lhs_bits=105 rhs_bits=107 margin_bits=106 log10_lhs_over_rhs=-0.43284540988631548 next_K=27 next_log10_lhs_over_rhs=1.00556169265276907 status=OK
frontier q=54 window_bound=30845 K=26 lhs_bits=105 rhs_bits=109 margin_bits=108 log10_lhs_over_rhs=-1.03491948088495889 next_K=27 next_log10_lhs_over_rhs=0.403487621654129214 status=OK
frontier q=55 window_bound=30844 K=27 lhs_bits=110 rhs_bits=111 margin_bits=109 log10_lhs_over_rhs=-0.19858644980098461 next_K=28 next_log10_lhs_over_rhs=1.25539907578532706 status=OK
frontier q=56 window_bound=30843 K=27 lhs_bits=110 rhs_bits=113 margin_bits=112 log10_lhs_over_rhs=-0.800660521712607931 next_K=28 next_log10_lhs_over_rhs=0.653325003873710841 status=OK
frontier q=57 window_bound=30842 K=27 lhs_bits=110 rhs_bits=115 margin_bits=114 log10_lhs_over_rhs=-1.40273459408075496 next_K=28 next_log10_lhs_over_rhs=0.0512509315055567072 status=OK
frontier q=58 window_bound=30841 K=28 lhs_bits=115 rhs_bits=117 margin_bits=116 log10_lhs_over_rhs=-0.550823141319149556 next_K=29 next_log10_lhs_over_rhs=0.918198913275539041 status=OK
frontier q=59 window_bound=30840 K=28 lhs_bits=115 rhs_bits=119 margin_bits=118 log10_lhs_over_rhs=-1.15289721460045058 next_K=29 next_log10_lhs_over_rhs=0.316124839994238016 status=OK
frontier q=60 window_bound=30839 K=29 lhs_bits=120 rhs_bits=121 margin_bits=119 log10_lhs_over_rhs=-0.285949233743686193 next_K=30 next_log10_lhs_over_rhs=1.19760405714516338 status=OK
frontier q=61 window_bound=30838 K=29 lhs_bits=120 rhs_bits=123 margin_bits=122 log10_lhs_over_rhs=-0.888023307938254902 next_K=30 next_log10_lhs_over_rhs=0.595529982950587566 status=OK
frontier q=62 window_bound=30837 K=30 lhs_bits=124 rhs_bits=125 margin_bits=118 log10_lhs_over_rhs=-0.00654409170066116985 next_K=31 next_log10_lhs_over_rhs=1.49106813992484888 status=OK
frontier q=63 window_bound=30836 K=30 lhs_bits=124 rhs_bits=127 margin_bits=126 log10_lhs_over_rhs=-0.60861816680862546 next_K=31 next_log10_lhs_over_rhs=0.888994064816884588 status=OK
frontier q=64 window_bound=30835 K=30 lhs_bits=124 rhs_bits=129 margin_bits=128 log10_lhs_over_rhs=-1.21069224237332662 next_K=31 next_log10_lhs_over_rhs=0.286919989252183427 status=OK
frontier q=65 window_bound=30834 K=31 lhs_bits=129 rhs_bits=131 margin_bits=130 log10_lhs_over_rhs=-0.315154086769283026 next_K=32 next_log10_lhs_over_rhs=1.1960746434125582 status=OK
frontier q=66 window_bound=30833 K=31 lhs_bits=129 rhs_bits=133 margin_bits=132 log10_lhs_over_rhs=-0.917228163247550299 next_K=32 next_log10_lhs_over_rhs=0.59400056693429093 status=OK
frontier q=67 window_bound=30832 K=32 lhs_bits=134 rhs_bits=135 margin_bits=129 log10_lhs_over_rhs=-0.00807351000080558379 next_K=33 next_log10_lhs_over_rhs=1.51635637495665776 status=OK
frontier q=68 window_bound=30831 K=32 lhs_bits=134 rhs_bits=137 margin_bits=136 log10_lhs_over_rhs=-0.61014758739275976 next_K=33 next_log10_lhs_over_rhs=0.914282297564703583 status=OK
frontier q=69 window_bound=30830 K=32 lhs_bits=134 rhs_bits=139 margin_bits=138 log10_lhs_over_rhs=-1.21222166524160002 next_K=33 next_log10_lhs_over_rhs=0.312208219715863322 status=OK
frontier q=70 window_bound=30829 K=33 lhs_bits=140 rhs_bits=141 margin_bits=139 log10_lhs_over_rhs=-0.289865858589891445 next_K=34 next_log10_lhs_over_rhs=1.24737451101881902 status=OK
frontier q=71 window_bound=30828 K=33 lhs_bits=140 rhs_bits=143 margin_bits=142 log10_lhs_over_rhs=-0.891939937352596246 next_K=34 next_log10_lhs_over_rhs=0.64530043225611422 status=OK
frontier q=72 window_bound=30827 K=33 lhs_bits=140 rhs_bits=145 margin_bits=144 log10_lhs_over_rhs=-1.4940140165722795 next_K=34 next_log10_lhs_over_rhs=0.0432263530364380699 status=OK
frontier q=73 window_bound=30826 K=34 lhs_bits=145 rhs_bits=147 margin_bits=146 log10_lhs_over_rhs=-0.558847726640252063 next_K=35 next_log10_lhs_over_rhs=0.990834988399384997 status=OK
frontier q=74 window_bound=30825 K=34 lhs_bits=145 rhs_bits=149 margin_bits=148 log10_lhs_over_rhs=-1.16092180677397039 next_K=35 next_log10_lhs_over_rhs=0.388760908265659566 status=OK
frontier q=75 window_bound=30824 K=35 lhs_bits=150 rhs_bits=151 margin_bits=149 log10_lhs_over_rhs=-0.213313172325129585 next_K=36 next_log10_lhs_over_rhs=1.34846437907668815 status=OK
frontier q=76 window_bound=30823 K=35 lhs_bits=150 rhs_bits=153 margin_bits=152 log10_lhs_over_rhs=-0.815387253373010878 next_K=36 next_log10_lhs_over_rhs=0.746390298028806853 status=OK
frontier q=77 window_bound=30822 K=35 lhs_bits=150 rhs_bits=155 margin_bits=154 log10_lhs_over_rhs=-1.41746133487801274 next_K=36 next_log10_lhs_over_rhs=0.144316216523797891 status=OK
frontier q=78 window_bound=30821 K=36 lhs_bits=155 rhs_bits=157 margin_bits=156 log10_lhs_over_rhs=-0.457757865438360056 next_K=37 next_log10_lhs_over_rhs=1.11578595130892921 status=OK
frontier q=79 window_bound=30820 K=36 lhs_bits=155 rhs_bits=159 margin_bits=158 log10_lhs_over_rhs=-1.05983194785770252 next_K=37 next_log10_lhs_over_rhs=0.513711868889586754 status=OK
frontier q=80 window_bound=30819 K=37 lhs_bits=160 rhs_bits=161 margin_bits=158 log10_lhs_over_rhs=-0.0883622139869757461 next_K=38 next_log10_lhs_over_rhs=1.49663672373345236 status=OK
frontier q=81 window_bound=30818 K=37 lhs_bits=160 rhs_bits=163 margin_bits=162 log10_lhs_over_rhs=-0.690436297320772496 next_K=38 next_log10_lhs_over_rhs=0.894562640399648501 status=OK
frontier q=82 window_bound=30817 K=37 lhs_bits=160 rhs_bits=165 margin_bits=164 log10_lhs_over_rhs=-1.29251038111184613 next_K=38 next_log10_lhs_over_rhs=0.292488556608574868 status=OK
