TIGHT_OMEGA_PACKED_CERT max_m=8 partitions=43820 threads=32
progress m=3 r=3 processed=9/22 elapsed=0.00s
progress m=3 r=3 processed=10/22 elapsed=0.00s
progress m=3 r=3 processed=11/22 elapsed=0.00s
progress m=3 r=3 processed=12/22 elapsed=0.00s
progress m=3 r=3 processed=13/22 elapsed=0.00s
progress m=3 r=3 processed=14/22 elapsed=0.00s
progress m=3 r=3 processed=15/22 elapsed=0.00s
progress m=3 r=3 processed=16/22 elapsed=0.00s
progress m=3 r=3 processed=17/22 elapsed=0.00s
progress m=3 r=3 processed=18/22 elapsed=0.00s
progress m=3 r=3 processed=19/22 elapsed=0.00s
progress m=3 r=3 processed=20/22 elapsed=0.00s
progress m=3 r=3 processed=21/22 elapsed=0.00s
progress m=3 r=3 processed=22/22 elapsed=0.00s
merge m=3 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=0/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
merge m=3 r=3 merged_local_states=191/191 elapsed=0.00s
LEVEL m=3 r=3 states=191 total_paths=191 max_fiber=1 elapsed=0.00s
RESULT m=3 states=191 total_paths=191 max_omega=1 pow2=8 passes_pow2=yes
BEST m=3 partition=8,1,1,1,1 strips=(1,3);(2,1)|(1,5);(4,1)|(1,7);(1,8)
progress m=4 r=1 processed=1/1 elapsed=0.00s
